,city,comments,name,prices,quality_price,rating,services,stars,id,rank
1269,Bacalar,24,Las Nubes by MIJ Hotel,,0.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Toallas para la piscina/playa # Bar en la terraza # Playa # Alquiler de bicicletas # Los niños se alojan gratis # Sillitas altas disponibles # Habitación libre de alérgenos # Cortinas blackout # Aire acondicionado # Playa privada # Baño adicional # Baños privados # Camas extralargas # Productos de tocador de cortesía # Vista al mar # Vista a un lugar de interés # Suite nupcial # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.0,161,156
1266,Bacalar,206,Casita Carolina Hotel,,4.5,4.5,Estacionamiento gratis # Internet gratuito # Wifi # Hotel para no fumadores # Habitaciones para no fumadores # Habitaciones para familias,0,173,168
1202,Bacalar,72,Pehaltun Villas,,4.5,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Se admiten mascotas ( Se aceptan perros / mascotas ) # Kitchenette # Microondas,0,175,170
1200,Bacalar,47,Mis Casas Apartamento,,4.5,5.0,Estacionamiento gratis # Se admiten mascotas ( Se aceptan perros / mascotas ) # Hotel para no fumadores # Kitchenette # Habitaciones para no fumadores # Suites # Habitaciones para familias,0,176,171
1115,Bacalar,3,Casa Árabe Alojamiento,1600 # 1377,0.0,3.5,,0,177,172
1217,Bacalar,2,Iguana Rana Cabins Bacalar,,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi,0,178,173
1218,Bacalar,3,Mi Cuartito En Bacalar,,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi,0,179,174
1219,Bacalar,1,Hotel San Joaquin,,0.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Aire acondicionado # Servicio de limpieza # Sala de estar # Sofá # Kitchenette # Microondas # TV pantalla plana # Productos de tocador de cortesía # Habitaciones para familias,0,180,175
1220,Bacalar,1,Hostel Calma,,0.0,5.0,Actividades infantiles (Ideal para niños / familias),0,181,176
1221,Bacalar,18,Xibalba Bacalar Hostal,,4.5,3.5,Bar/Salón # Playa # Actividades infantiles (Ideal para niños / familias),0,182,177
1222,Bacalar,1,Hotel Villa Carmita,,0.0,5.0,Internet de alta velocidad gratuito (WiFi) # Actividades infantiles (Ideal para niños / familias) # Recepción disponible las 24 horas # Aire acondicionado # Servicio de limpieza,0,183,178
1225,Bacalar,56,Hotel Villa Esmeralda,,2.5,2.5,Estacionamiento gratis # Internet gratuito # Wifi público # Piscina # Desayuno gratis # Bar/Salón # Actividades infantiles (Ideal para niños / familias) # Muebles de exterior # Aire acondicionado # Playa privada # Servicio de limpieza # Suites # Habitaciones para familias,0,186,181
1226,Bacalar,2,Pueblo Viejo Hotel especializado,,2.0,1.0,Aire acondicionado # TV pantalla plana # Bañera/Ducha,0,187,182
1227,Bacalar,2,Casa Particular Alojamiento,,0.0,2.0,Estacionamiento gratis # Garaje de estacionamientos # Internet de alta velocidad gratuito (WiFi) # Actividades infantiles (Ideal para niños / familias) # Hotel para no fumadores # Aire acondicionado,0,188,183
1228,Bacalar,5,La Nueva Esperanza,,4.0,3.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Piscina al aire libre # Se admiten mascotas ( Se aceptan perros / mascotas ) # Hotel para no fumadores # Recepción disponible las 24 horas # Aire acondicionado # Habitaciones para familias,0,189,184
1229,Bacalar,21,Casita Maya Posada,,0.0,3.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Actividades infantiles (Ideal para niños / familias) # Solárium # Recepción disponible las 24 horas # Aire acondicionado # Servicio de limpieza # Sala de estar,0,190,185
1201,Bacalar,235,Green Monkey Hostel Bacalar,,4.0,3.5,Estacionamiento gratis # Internet gratuito # Wifi # Desayuno gratis # Playa # Alquiler de bicicletas # Se admiten mascotas ( Se aceptan perros / mascotas ) # Chimenea # Kitchenette,0,191,186
