city_ta,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
Isla Mujeres,183,Hotel Marcianito,,4.5,4.0,2.0,80,0,0,1,2,0,0,1,1,1,1,37.0,896,7.0,6.9,2,49,0,0,1,1,1,3,0,0,1,1,0,0
Isla Mujeres,3,Hotel Ma Elena,,0.0,4.5,2.0,81,0,0,1,1,1,2,0,0,1,1,136.0,800,8.0,7.7,0,12,1,1,1,1,1,3,0,0,1,1,0,0
Isla Mujeres,989,Nautibeach Beach Front Condos in North Beach,,4.5,4.5,3.0,87,1,3,1,1,1,2,1,1,1,3,140.0,4164,8.8,9.1,3,53,1,3,1,2,1,4,0,0,1,1,1,1
Isla Mujeres,3,Casa Alkimia Oceanfront,,0.0,4.0,0.0,89,1,3,1,1,1,1,0,0,1,3,20.0,4981,10.0,10.0,4,5,1,3,1,2,1,4,0,0,1,2,1,1
Isla Mujeres,1,Cuxos Hotel Beachfront,,0.0,3.0,0.0,112,1,1,1,3,0,0,0,0,1,2,462.0,1796,7.6,7.7,4,57,1,2,1,3,1,5,1,3,1,1,1,3
Isla Mujeres,550,Hotel Playa La Media Luna,,4.0,4.0,4.0,135,1,3,1,1,1,2,1,1,1,2,573.0,2689,7.5,7.9,4,41,1,4,1,7,1,7,0,0,1,1,1,2
Isla Mujeres,434,Nomads Hotel & Beachclub,,5.0,5.0,0.0,138,1,3,1,2,1,2,0,0,1,3,3.573,2887,8.6,8.8,3,44,1,2,1,2,1,11,0,0,0,0,1,5
Isla Mujeres,516,Hotel Secreto,,4.0,4.5,3.5,140,1,3,1,1,1,3,0,0,1,1,233.0,4306,8.8,9.3,5,35,1,3,1,2,1,5,1,1,1,1,0,0
Isla Mujeres,81,Hotel Paradise Suites,,4.5,4.5,0.0,143,0,0,1,1,1,2,1,2,1,2,141.0,2850,7.5,7.9,4,21,0,0,1,2,1,8,0,0,0,0,1,2
Isla Mujeres,54,Bahia Tolok,,4.0,4.5,0.0,152,1,2,1,2,1,2,1,3,1,2,468.0,2302,8.5,8.6,4,36,1,2,1,6,1,11,1,4,1,4,1,6
