city,comments,name,prices,quality_price,rating,stars,id,rank,heredados,total_heredados,acceso/comunicacion,total_acceso/comunicacion,entretenimiento/deporte,total_entretenimiento/deporte,ninios,total_ninios,comida/bebida,total_comida/bebida
Isla Mujeres,17,casa azul maya Apartamento,1501.0,5.0,4.5,0,349,9,0,0,1,4,1,2,1,2,1,3
Isla Mujeres,94,Hotel Kinich,1890.0,4.5,4.5,3.0,350,10,0,0,1,2,0,0,0,0,1,4
Isla Mujeres,77,Los Arcos Suites Hotel,,4.5,4.0,2.0,351,11,0,0,1,2,0,0,1,1,1,3
Isla Mujeres,31,Lola Hotel,,4.5,5.0,0,352,12,1,2,1,3,1,1,1,2,1,1
Isla Mujeres,72,Luna d' Miel Apartamento,,4.5,4.5,2.0,353,13,1,2,1,1,1,1,0,0,1,2
Isla Mujeres,131,Hotel Isleño,1546.0,4.5,4.0,3.0,354,14,0,0,1,2,1,1,1,1,1,1
Isla Mujeres,82,Sea Hawk B & B,,4.5,4.5,0,355,15,1,1,1,2,0,0,0,0,1,2
Isla Mujeres,212,Casa Ixchel,,4.0,4.0,0,356,16,1,1,1,2,1,2,0,0,1,3
Isla Mujeres,286,Hotel Xbulu-Ha,1269.0,4.5,4.0,2.0,357,17,0,0,1,2,1,1,0,0,1,3
Isla Mujeres,42,Isla 33 Resort & Villas,,4.0,4.0,3.5,358,18,1,1,1,1,1,2,1,2,1,3
Isla Mujeres,34,Puerta al Mar Apartamento,,4.5,5.0,5.0,359,19,1,1,1,2,1,2,0,0,1,1
Isla Mujeres,5280,Mia Reef Isla Mujeres Resort (todo incluido),,4.0,4.0,5.0,360,20,1,3,1,2,1,5,1,2,1,2
Isla Mujeres,3,St. Martin Isla Mujeres Boutique Hotel,,0.0,3.5,0,361,21,0,0,0,0,0,0,1,1,1,1
Isla Mujeres,88,Casa Roca Caribe,,5.0,5.0,0,362,22,1,1,1,1,1,1,0,0,1,4
Isla Mujeres,86,Color de Verano Village Apartments Apartamento,,5.0,5.0,0,363,23,1,1,1,2,0,0,0,0,1,2
Isla Mujeres,98,La Vida Dulce Casitas,,5.0,5.0,0,364,24,0,0,1,2,1,1,0,0,1,3
Isla Mujeres,24,Casa Onali,,5.0,5.0,0,365,25,0,0,1,2,0,0,1,3,1,3
Isla Mujeres,18,Villas San Miguel,,5.0,5.0,0,366,26,1,1,1,1,0,0,0,0,1,1
Isla Mujeres,74,The Soggy Peso Bed & Cocktail,,4.5,4.5,0,367,27,0,0,1,1,1,2,0,0,1,3
Isla Mujeres,24,OYO Hotel El Caracol,,3.0,2.5,0,368,28,0,0,0,0,0,0,0,0,0,0
Isla Mujeres,189,Hotel Beló Isla Mujeres,,4.5,4.0,5.0,369,29,1,1,1,2,1,3,1,1,1,1
Isla Mujeres,1,Casa Fitz,,0.0,5.0,0,370,30,0,0,0,0,0,0,0,0,0,0
Isla Mujeres,807,Izla Hotel,,4.5,4.5,4.0,371,31,1,3,1,2,1,3,1,2,1,2
Isla Mujeres,207,Marina Paraiso Hotel Isla Mujeres,,4.5,4.5,3.0,372,32,0,0,1,2,1,2,1,1,1,2
